player_id,last_name,first_name,team_name,start_year,end_year,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough
600466,Read, Raudy,WSH,2019,,111,0,0,1,0.5968493,-0.145279531,0.963963964,0.036036036,0,-0.704134411,0.300983711,0
446868,Castillo, Wilkin,MIA,2019,,48,0,0,1,0.761327363,-0.198893864,0.895833333,0.083333333,0.020833333,0.127497676,0.362138502,-0.728308815
543877,Vázquez, Christian,BOS,2019,,11480,0,-1,123,121.6579911,-0.004675989,0.947560976,0.040853659,0.011585366,-3.105986824,-2.144838053,3.908815958
521692,Perez, Salvador,KC,2019,,6305,0,-1,82,80.79657041,-0.007634763,0.93259318,0.049484536,0.017922284,9.892679602,-2.209200564,-8.88690863
668800,Knizner, Andrew,STL,2019,,2814,0,-1,31,30.04944617,-0.013511781,0.945984364,0.039800995,0.014214641,0.07128894,0.93044101,-1.952283778
624513,Nuñez, Dom,COL,2019,,3444,0,-1,39,37.74202295,-0.014610651,0.948606272,0.037746806,0.013646922,-2.348825841,-0.379764204,1.470612993
543302,Herrmann, Chris,OAK,2019,,741,0,-1,8,7.343162124,-0.035456835,0.956815115,0.028340081,0.014844804,-0.437018622,0.010271137,-0.230090391
664926,Dini, Nick,KC,2019,,717,0,-1,10,9.327451377,-0.037520146,0.930264993,0.052998605,0.016736402,-0.309990611,-1.443518014,1.080960003
644433,Tromp, Chadwick,SF,2020,,938,0,-1,11,9.896436999,-0.047060256,0.942430704,0.047974414,0.009594883,-2.406924358,1.069190499,0.234170858
621529,Hudson, Joe,SEA,2019,,289,0,-1,4,3.408471793,-0.081872416,0.951557093,0.031141869,0.017301038,0.289665378,-0.204520463,-0.676673122
665861,Rivero, Sebastián ,KC,2021,,523,0,-1,11,9.717868863,-0.098059743,0.881453155,0.093690249,0.024856597,-1.686972616,1.431176189,-1.02633471
543089,Davis, Taylor,PIT,2019,,319,0,-1,6,5.180756678,-0.102726435,0.927899687,0.05015674,0.021943574,-2.429413717,0.545801635,1.064368759
502570,Gale, Rocky,LAD,2019,,149,0,-1,2,1.418653644,-0.156066136,0.946308725,0.040268456,0.013422819,-0.491479542,0.503853333,-0.593720147
518542,Centeno, Juan,BOS,2019,,192,0,-1,4,2.780432687,-0.254076523,0.911458333,0.0625,0.026041667,-1.251097987,-0.989080464,1.020611139
624419,Ciuffo, Nick,BAL,2019,,153,0,-1,3,2.017634011,-0.25682771,0.928104575,0.045751634,0.026143791,-2.429138542,0.652267118,0.794505435
593993,Briceño, José,LAA,2019,,69,0,-1,1,0.439071947,-0.325175683,0.971014493,0.028985507,0,-0.757015436,0.196087383,0
446653,Lobaton, Jose,CHC,2019,,153,0,-1,3,1.524403112,-0.385776964,0.941176471,0.045751634,0.013071895,-0.583091472,0.52420753,-1.416712945
591712,Hernández, Óscar,KC,2019,,47,0,-1,1,0.495210007,-0.429608505,0.936170213,0.042553191,0.021276596,0.133776244,0.206302241,-0.844868479
621493,Ward, Taylor,LAA,2019,,37,0,-1,1,0.41894316,-0.628169557,0.945945946,0.027027027,0.027027027,0.105357941,0.106191955,-0.792606736
572180,Susac, Andrew,PIT,2019,,38,0,-1,2,0.957778026,-1.097075763,0.868421053,0.078947368,0.052631579,-0.725036334,0.195635286,-0.512820926
608596,Murphy, Tom,SEA,2019,,5550,-1,-2,56,53.67544982,-0.016753515,0.947027027,0.043603604,0.009369369,2.60951142,-5.216172993,0.282111396
435263,McCann, Brian,ATL,2019,,2883,0,-2,37,35.45322469,-0.021460636,0.941380506,0.042663892,0.015955602,-4.029307139,-3.025452931,5.50798476
431145,Martin, Russell,LAD,2019,,1800,-1,-2,17,14.89361423,-0.046808573,0.955,0.036111111,0.008888889,-1.918222065,0.256606093,-0.444769802
